"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 20 02:38:28 UTC 2023","Wed Dec 20 02:38:31 UTC 2023","3629","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Dec 20 03:54:15 UTC 2023","Wed Dec 20 03:54:20 UTC 2023","4243","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed Dec 20 03:56:23 UTC 2023","Wed Dec 20 03:56:24 UTC 2023","974","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Wed Dec 20 02:14:33 UTC 2023","Wed Dec 20 02:14:43 UTC 2023","9619","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Wed Dec 20 03:56:21 UTC 2023","Wed Dec 20 03:56:23 UTC 2023","1803","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Wed Dec 20 02:54:33 UTC 2023","Wed Dec 20 02:54:38 UTC 2023","4857","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Dec 20 02:22:33 UTC 2023","Wed Dec 20 02:22:33 UTC 2023","150","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Wed Dec 20 02:24:38 UTC 2023","Wed Dec 20 02:24:48 UTC 2023","9320","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Dec 20 02:37:51 UTC 2023","Wed Dec 20 02:38:02 UTC 2023","11552","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Wed Dec 20 04:26:21 UTC 2023","Wed Dec 20 04:26:25 UTC 2023","4167","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Wed Dec 20 03:56:11 UTC 2023","Wed Dec 20 03:56:21 UTC 2023","9733","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Dec 20 02:30:27 UTC 2023","Wed Dec 20 02:30:29 UTC 2023","2111","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Dec 20 02:13:46 UTC 2023","Wed Dec 20 02:14:11 UTC 2023","25229","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Dec 20 03:30:45 UTC 2023","Wed Dec 20 03:30:49 UTC 2023","4157","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Dec 20 04:44:41 UTC 2023","Wed Dec 20 04:44:50 UTC 2023","9271","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed Dec 20 03:31:00 UTC 2023","Wed Dec 20 03:31:03 UTC 2023","3472","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed Dec 20 02:24:48 UTC 2023","Wed Dec 20 02:24:53 UTC 2023","5196","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Dec 20 02:34:56 UTC 2023","Wed Dec 20 02:35:06 UTC 2023","10628","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Dec 20 02:22:33 UTC 2023","Wed Dec 20 02:22:43 UTC 2023","9138","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Wed Dec 20 04:27:33 UTC 2023","Wed Dec 20 04:27:36 UTC 2023","3520","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Dec 20 02:14:11 UTC 2023","Wed Dec 20 02:14:33 UTC 2023","22148","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Dec 20 02:49:20 UTC 2023","Wed Dec 20 02:49:46 UTC 2023","25367","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed Dec 20 03:42:19 UTC 2023","Wed Dec 20 03:42:50 UTC 2023","30630","","17.1 Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"passed","Wed Dec 20 04:30:58 UTC 2023","Wed Dec 20 04:32:09 UTC 2023","71629","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Dec 20 02:49:09 UTC 2023","Wed Dec 20 02:49:09 UTC 2023","243","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Dec 20 03:56:04 UTC 2023","Wed Dec 20 03:56:11 UTC 2023","6688","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Wed Dec 20 02:48:55 UTC 2023","Wed Dec 20 02:49:09 UTC 2023","13894","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Dec 20 02:38:18 UTC 2023","Wed Dec 20 02:38:28 UTC 2023","9208","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Wed Dec 20 02:52:08 UTC 2023","Wed Dec 20 02:52:25 UTC 2023","17198","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"failed","Wed Dec 20 04:27:46 UTC 2023","Wed Dec 20 04:30:58 UTC 2023","191277","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Wed Dec 20 02:26:46 UTC 2023","Wed Dec 20 02:26:47 UTC 2023","410","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Dec 20 03:31:03 UTC 2023","Wed Dec 20 03:31:16 UTC 2023","12242","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Wed Dec 20 02:13:46 UTC 2023","Wed Dec 20 02:13:46 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Wed Dec 20 02:34:52 UTC 2023","Wed Dec 20 02:34:56 UTC 2023","4195","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Dec 20 02:13:02 UTC 2023","Wed Dec 20 02:13:22 UTC 2023","20249","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Dec 20 03:56:24 UTC 2023","Wed Dec 20 03:56:25 UTC 2023","999","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed Dec 20 03:54:13 UTC 2023","Wed Dec 20 03:54:15 UTC 2023","2582","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Dec 20 02:54:31 UTC 2023","Wed Dec 20 02:54:33 UTC 2023","2021","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed Dec 20 04:24:43 UTC 2023","Wed Dec 20 04:25:05 UTC 2023","22243","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Wed Dec 20 02:24:23 UTC 2023","Wed Dec 20 02:24:38 UTC 2023","14906","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Dec 20 02:16:45 UTC 2023","Wed Dec 20 02:17:05 UTC 2023","20382","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Wed Dec 20 04:44:53 UTC 2023","Wed Dec 20 04:44:56 UTC 2023","2830","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Dec 20 03:39:40 UTC 2023","Wed Dec 20 03:40:11 UTC 2023","31379","","17.0 Create Test User on Live Portal","","","","3. Subscribe user via Investment Suitability Calculator",""
"passed","Wed Dec 20 04:25:05 UTC 2023","Wed Dec 20 04:25:05 UTC 2023","14","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
